id,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2_5,air_quality_PM10,air_quality_us_epa_index,air_quality_gb_defra_index
12925,303.8,39.3,24.0,6.5,2.7,3.5,1,1
12926,423.9,17.5,5.1,2.7,7.0,16.2,1,1
12927,327.1,60.8,15.1,10.4,38.6,138.1,2,4
12928,250.3,35.1,1.9,1.1,0.9,2.0,1,1
12929,203.6,65.1,0.5,4.8,2.5,4.9,1,1
12930,317.1,36.8,0.2,0.0,5.5,13.6,1,1
12931,223.6,37.2,0.5,0.3,33.9,128.9,2,3
12932,240.3,25.4,6.8,5.0,1.6,2.7,1,1
12933,377.2,84.4,4.1,3.8,3.5,7.9,1,1
12934,527.4,34.7,28.5,1.0,6.1,7.3,1,1
12935,263.7,52.2,1.0,0.1,1.6,2.5,1,1
12936,260.4,52.9,10.6,2.4,2.7,4.0,1,1
12937,233.7,93.0,0.2,0.1,0.7,4.1,1,1
12938,1468.7,19.3,38.7,13.6,119.5,163.8,4,10
12939,19866.9,0.0,186.4,117.3,803.3,1021.3,6,10
12940,1695.6,0.0,105.6,120.2,26.5,40.6,2,3
12941,303.8,89.4,13.5,18.6,26.0,43.6,2,3
12942,230.3,46.5,6.1,2.9,0.8,1.4,1,1
12943,337.1,0.2,58.3,6.3,13.8,23.1,1,2
12944,527.4,34.7,28.5,1.0,6.1,7.3,1,1
12945,327.1,29.7,4.2,5.0,1.4,2.0,1,1
12946,353.8,0.0,40.8,17.2,37.1,43.1,2,4
12947,273.7,8.1,69.2,24.3,12.6,21.9,1,2
12948,220.3,67.2,2.7,5.8,4.5,7.2,1,1
12949,774.4,6.7,7.9,2.9,17.1,28.9,2,2
12950,155.2,9.2,0.0,0.0,0.5,0.7,1,1
12951,774.4,0.0,167.3,120.2,61.6,126.3,3,8
12952,290.4,33.3,20.7,6.6,12.6,14.6,1,2
12953,1081.5,21.5,9.9,0.8,54.1,67.5,3,7
12954,257.0,54.4,5.1,1.9,5.3,6.6,1,1
12955,198.6,83.0,6.1,13.0,7.6,12.5,1,1
12956,277.0,30.4,3.6,1.3,3.5,4.9,1,1
12957,340.5,36.1,0.3,0.1,1.8,3.0,1,1
12958,360.5,2.5,2.3,0.4,19.6,21.1,2,2
12959,343.8,19.1,24.7,2.4,5.3,7.0,1,1
12960,233.7,55.8,2.5,2.0,6.7,7.6,1,1
12961,220.3,62.2,4.0,0.4,0.5,0.6,1,1
12962,480.7,27.2,3.0,1.8,9.0,13.4,1,1
12963,287.1,31.5,1.1,0.8,3.5,7.0,1,1
12964,2002.7,0.0,28.5,18.1,49.7,78.1,3,6
12965,433.9,101.6,0.2,0.0,8.8,9.1,1,1
12966,337.1,26.1,2.0,1.3,42.1,132.2,3,5
12967,212.0,86.6,0.6,0.3,2.1,7.3,1,1
12968,175.2,40.1,0.0,0.1,1.2,2.1,1,1
12969,353.8,48.6,3.0,1.4,68.2,262.0,4,9
12970,210.3,43.3,0.8,1.3,2.0,8.6,1,1
12971,350.5,91.6,18.3,85.8,38.0,39.9,2,4
12972,180.2,30.8,0.0,0.0,0.5,0.8,1,1
12973,250.3,44.7,0.6,0.3,0.5,0.5,1,1
12974,330.5,36.5,16.5,2.4,5.6,7.5,1,1
12975,220.3,64.4,2.4,21.7,0.8,1.0,1,1
12976,220.3,66.5,2.3,0.9,2.0,2.5,1,1
12977,210.3,103.0,0.3,0.2,2.0,7.2,1,1
12978,293.7,42.9,1.4,0.8,3.9,19.9,1,1
12979,387.2,5.4,1.7,0.2,7.6,9.8,1,1
12980,230.3,65.1,0.5,0.5,17.7,87.3,2,2
12981,220.3,70.8,3.7,6.7,21.6,69.3,2,2
12982,1976.0,12.2,20.2,2.5,139.3,173.5,4,10
12983,243.7,36.1,17.3,1.8,0.7,1.1,1,1
12984,205.3,41.8,0.1,0.1,1.0,2.1,1,1
12985,263.7,73.7,2.4,5.4,16.8,17.5,2,2
12986,1735.7,44.7,17.3,10.3,147.9,392.3,4,10
12987,500.7,7.2,4.0,0.4,44.7,151.7,3,5
12988,600.8,15.7,14.4,5.8,27.7,41.9,2,3
12989,250.3,57.2,8.5,10.7,9.5,16.0,1,1
12990,257.0,34.7,5.3,1.7,0.6,0.7,1,1
12991,520.7,28.6,72.0,35.3,60.9,114.9,3,8
12992,1615.5,35.8,57.6,7.3,67.6,92.8,4,9
12993,223.6,17.7,0.1,0.1,0.5,0.7,1,1
12994,293.7,10.6,0.1,0.0,0.5,0.5,1,1
12995,330.5,16.6,9.2,9.3,2.0,2.6,1,1
12996,212.0,9.3,10.2,10.5,3.4,3.9,1,1
12997,237.0,22.5,0.1,0.1,0.5,0.5,1,1
12998,247.0,50.1,3.9,3.0,4.8,18.5,1,1
12999,1174.9,0.1,21.3,7.2,46.2,58.1,3,5
13000,307.1,54.4,15.3,15.7,7.0,8.1,1,1
13001,237.0,90.1,5.7,1.5,3.5,17.2,1,1
13002,267.0,73.7,32.6,16.7,41.0,82.9,3,4
13003,317.1,27.9,13.0,0.8,9.0,15.8,1,1
13004,393.9,0.3,46.6,15.5,11.4,15.0,1,1
13005,694.3,7.8,6.3,0.8,23.0,35.1,2,2
13006,210.3,45.1,0.3,0.3,2.5,11.2,1,1
13007,210.3,41.5,0.1,0.2,1.8,4.7,1,1
13008,208.6,41.5,0.6,0.3,1.2,3.7,1,1
13009,227.0,44.4,0.3,0.3,2.2,4.1,1,1
13010,240.3,77.3,1.9,0.2,0.5,0.8,1,1
13011,250.3,50.1,13.9,3.9,1.1,1.8,1,1
13012,554.1,0.0,80.2,39.6,30.6,85.1,2,3
13013,230.3,67.2,3.6,2.0,86.1,246.5,4,10
13014,253.7,63.7,5.3,3.9,8.2,10.1,1,1
13015,327.1,41.5,0.3,0.3,1.1,2.2,1,1
13016,333.8,29.3,0.6,0.2,3.1,5.6,1,1
13017,1268.4,0.0,30.9,13.7,32.2,36.1,2,3
13018,317.1,33.6,18.9,2.7,1.3,1.7,1,1
13019,420.6,27.2,19.2,0.9,9.7,16.2,1,1
13020,191.9,22.0,0.7,0.3,0.8,0.9,1,1
13021,834.5,10.5,4.0,1.1,22.9,43.5,2,2
13022,377.2,52.9,10.0,8.6,26.6,36.2,2,3
13023,2029.4,0.0,45.9,30.0,131.1,140.0,4,10
13024,185.3,61.5,0.6,0.4,28.1,88.2,2,3
13025,253.7,51.5,8.0,0.5,1.0,1.7,1,1
13026,841.1,6.8,25.0,8.0,10.7,13.6,1,1
13027,297.1,54.4,3.0,1.7,20.7,103.1,2,2
13028,230.3,26.1,0.0,0.1,2.4,8.5,1,1
13029,257.0,43.6,6.9,3.6,2.4,2.8,1,1
13030,227.0,72.2,4.2,1.0,0.6,0.8,1,1
13031,207.0,50.1,15.4,8.4,12.7,25.5,1,2
13032,213.6,57.2,2.9,8.6,4.2,6.8,1,1
13033,247.0,22.4,0.8,0.1,0.8,1.4,1,1
13034,10040.3,0.0,78.8,79.2,384.4,591.3,6,10
13035,317.1,49.4,0.5,0.3,4.6,7.9,1,1
13036,267.0,44.4,4.8,1.2,10.5,12.8,1,1
13037,198.6,41.8,0.1,0.5,6.1,17.6,1,1
13038,283.7,38.3,16.1,1.4,0.7,1.0,1,1
13039,213.6,93.0,0.5,0.3,1.6,4.6,1,1
13040,807.8,0.0,66.5,31.5,66.1,83.3,4,9
13041,270.4,55.1,12.5,7.2,10.9,27.9,1,1
13042,176.9,26.5,0.0,0.0,0.5,0.7,1,1
13043,741.0,2.4,4.8,1.1,29.4,41.7,2,3
13044,243.7,45.1,9.3,8.9,7.1,8.1,1,1
13045,247.0,140.2,0.4,2.1,45.5,85.6,3,5
13046,253.7,31.8,24.0,6.8,1.6,2.1,1,1
13047,317.1,31.1,10.5,0.6,3.2,3.8,1,1
13048,267.0,41.1,4.2,3.8,1.7,4.1,1,1
13049,460.6,0.0,65.1,6.6,16.0,17.8,2,2
13050,208.6,33.6,0.0,0.2,3.6,7.1,1,1
13051,460.6,37.9,31.5,51.5,10.1,10.6,1,1
13052,1348.5,2.2,61.0,25.3,92.7,109.4,4,10
13053,201.9,54.4,6.5,10.5,13.6,48.5,1,2
13054,1228.3,27.5,6.3,6.0,14.9,23.3,1,2
13055,487.3,26.1,7.9,10.7,23.4,30.7,2,2
13056,1241.7,57.2,11.1,0.5,16.3,25.0,2,2
13057,223.6,78.7,2.0,0.3,0.8,1.4,1,1
13058,233.7,69.4,19.9,2.6,2.6,5.5,1,1
13059,185.3,63.7,1.1,0.2,0.5,0.6,1,1
13060,433.9,25.4,5.1,2.9,15.1,30.6,1,2
13061,190.3,37.9,0.5,0.7,1.5,5.7,1,1
13062,327.1,67.2,4.1,1.8,2.3,3.4,1,1
13063,213.6,34.0,14.1,0.7,1.3,1.7,1,1
13064,193.6,40.4,0.7,0.1,0.7,2.1,1,1
13065,330.5,57.2,12.3,3.6,2.6,4.0,1,1
13066,217.0,69.4,3.1,0.5,26.4,60.5,2,3
13067,213.6,80.8,0.6,0.2,1.6,2.9,1,1
13068,243.7,121.6,13.4,48.2,35.0,79.5,2,3
13069,1401.9,25.4,21.3,3.4,164.0,192.9,5,10
13070,250.3,29.3,4.1,2.4,1.2,2.1,1,1
13071,507.4,0.0,35.3,6.1,20.2,26.4,2,2
13072,227.0,66.5,4.0,0.7,0.5,0.7,1,1
13073,203.6,31.8,0.2,0.0,0.7,0.7,1,1
13074,480.7,10.9,3.5,1.8,6.7,13.0,1,1
13075,310.4,37.2,1.8,0.2,10.4,12.1,1,1
13076,233.7,11.4,0.2,0.1,0.5,0.9,1,1
13077,207.0,65.1,1.2,1.2,0.6,1.5,1,1
13078,387.2,15.9,11.5,1.8,4.5,6.0,1,1
13079,330.5,56.5,0.2,0.2,4.2,5.3,1,1
13080,454.0,43.6,3.8,1.5,3.2,3.3,1,1
13081,233.7,56.5,2.5,0.4,1.6,3.8,1,1
13082,1815.8,32.9,25.7,11.7,127.8,282.7,4,10
13083,707.6,12.5,4.0,0.6,16.8,40.1,2,2
13084,205.3,47.2,0.1,0.1,0.7,2.1,1,1
13085,207.0,55.1,1.3,0.3,12.0,59.1,1,2
13086,1575.5,10.6,17.1,3.5,55.9,66.6,3,7
13087,607.5,2.2,3.5,0.9,18.4,30.4,2,2
13088,250.3,65.8,2.2,0.4,0.8,1.0,1,1
13089,166.9,0.0,0.1,0.0,0.5,0.7,1,1
13090,423.9,36.5,3.3,2.2,54.6,176.5,3,7
13091,313.8,101.6,4.1,10.6,11.7,19.2,1,1
13092,1922.6,0.0,58.3,48.2,201.3,270.2,5,10
13093,240.3,55.8,1.4,0.2,1.6,1.9,1,1
13094,227.0,47.9,0.3,0.2,1.8,5.0,1,1
13095,3364.6,3.2,47.3,14.3,181.8,262.8,5,10
13096,300.4,51.5,6.9,10.0,10.0,10.8,1,1
13097,233.7,74.4,3.1,0.1,0.9,1.6,1,1
13098,213.6,83.7,2.4,5.1,2.4,3.8,1,1
13099,270.4,43.3,6.0,6.6,11.6,25.1,1,1
13100,323.8,48.6,17.0,5.4,5.0,6.3,1,1
13101,3364.6,3.2,47.3,14.3,181.8,262.8,5,10
13102,247.0,52.2,5.3,1.4,0.7,1.0,1,1
13103,297.1,68.7,1.8,2.1,6.1,17.5,1,1
13104,243.7,36.8,1.6,0.4,1.4,3.4,1,1
13105,287.1,75.8,5.6,6.0,4.2,6.5,1,1
13106,988.0,1.0,38.7,24.8,8.8,10.8,1,1
13107,243.7,70.1,14.7,18.1,18.5,53.7,2,2
13108,212.0,47.2,0.4,0.7,0.5,1.0,1,1
13109,363.8,13.2,0.1,0.0,0.5,0.8,1,1
13110,460.6,43.6,3.0,1.0,15.6,30.9,2,2
13111,243.7,57.9,3.1,0.7,0.9,1.8,1,1
13112,210.3,18.2,1.4,1.3,2.6,4.2,1,1
13113,2670.3,14.7,12.2,3.9,74.8,162.4,4,10
13114,217.0,25.0,2.2,2.1,4.7,7.7,1,1
13115,243.7,55.8,4.0,0.9,0.7,1.3,1,1
13116,250.3,74.4,5.6,1.0,1.4,2.1,1,1
13117,403.9,25.0,2.4,2.0,4.2,6.0,1,1
13118,198.6,73.7,0.4,0.9,72.4,263.3,4,10
13119,370.5,27.2,7.5,0.1,11.5,19.4,1,1
13120,270.4,57.9,12.0,4.6,1.9,2.7,1,1
13121,420.6,25.0,3.7,1.7,6.8,15.9,1,1
13122,237.0,73.0,7.3,5.8,1.9,3.4,1,1
13123,243.7,31.8,2.0,0.9,0.6,1.6,1,1
13124,217.0,60.1,0.5,7.3,1.5,3.3,1,1
13125,313.8,50.1,0.2,0.1,9.7,15.0,1,1
13126,237.0,35.1,0.5,0.3,37.7,121.4,2,4
13127,253.7,30.8,3.6,3.6,2.0,4.7,1,1
13128,330.5,94.4,3.4,3.6,2.9,6.3,1,1
13129,580.8,29.3,35.6,1.4,6.5,8.3,1,1
13130,230.3,32.9,1.1,0.3,0.8,2.0,1,1
13131,380.5,12.9,31.9,4.6,13.2,18.5,1,2
13132,230.3,89.4,0.1,0.0,0.5,1.4,1,1
13133,2349.9,0.1,59.6,17.9,162.0,233.8,5,10
13134,10574.3,0.0,87.7,42.0,387.9,497.0,6,10
13135,3364.6,0.0,211.1,175.5,33.0,43.3,2,3
13136,487.3,27.2,45.2,22.9,20.4,39.1,2,2
13137,233.7,33.6,8.3,2.8,0.8,1.1,1,1
13138,283.7,25.8,40.8,6.4,19.1,45.1,2,2
13139,580.8,29.3,35.6,1.4,6.5,8.3,1,1
13140,293.7,59.4,2.9,4.1,2.8,4.2,1,1
13141,283.7,34.0,23.0,9.8,44.0,49.0,3,5
13142,297.1,24.3,65.8,46.7,20.7,48.5,2,2
13143,237.0,35.1,5.8,9.9,3.9,4.2,1,1
13144,974.7,10.2,10.6,3.6,25.9,42.7,2,3
13145,155.2,8.6,0.0,0.0,0.5,0.6,1,1
13146,257.0,105.9,4.8,1.9,29.7,98.8,2,3
13147,260.4,30.0,18.0,4.4,4.2,6.0,1,1
13148,841.1,75.1,9.2,2.4,27.3,35.5,2,3
13149,283.7,45.1,6.9,1.4,4.1,6.8,1,1
13150,227.0,79.4,2.8,10.7,14.4,34.0,1,2
13151,253.7,26.8,1.7,0.5,1.7,3.0,1,1
13152,330.5,41.5,0.4,0.2,2.5,3.7,1,1
13153,390.5,5.7,2.6,0.6,16.1,17.2,2,2
13154,260.4,64.4,4.3,0.5,1.4,1.6,1,1
13155,293.7,37.9,6.8,1.7,5.7,8.6,1,1
13156,210.3,68.0,2.2,0.2,0.5,0.5,1,1
13157,397.2,25.8,3.2,1.4,7.3,11.0,1,1
13158,243.7,26.8,0.5,0.2,1.8,4.4,1,1
13159,6462.1,0.0,189.2,56.3,306.5,327.6,6,10
13160,330.5,37.2,0.0,0.0,0.5,1.0,1,1
13161,620.8,35.4,4.3,3.5,60.7,167.8,3,8
13162,207.0,94.4,0.5,0.2,0.9,4.1,1,1
13163,180.2,25.8,0.0,0.1,1.4,3.4,1,1
13164,273.7,50.1,1.8,0.8,52.2,149.3,3,6
13165,213.6,49.4,1.7,2.5,1.2,4.8,1,1
13166,257.0,105.9,6.3,29.3,14.7,16.1,1,2
13167,176.9,15.2,0.0,0.1,0.5,1.2,1,1
13168,260.4,37.6,2.6,1.8,2.0,2.1,1,1
13169,303.8,28.3,13.2,1.2,3.9,5.1,1,1
13170,227.0,64.4,3.1,32.9,1.4,1.8,1,1
13171,220.3,58.7,4.1,2.0,2.4,3.2,1,1
13172,208.6,97.3,0.2,0.2,2.8,13.3,1,1
13173,250.3,41.1,0.7,0.5,2.2,13.4,1,1
13174,393.9,8.0,1.4,0.2,6.6,8.4,1,1
13175,230.3,45.8,0.4,0.5,6.5,31.0,1,1
13176,223.6,82.3,1.7,3.5,12.9,20.9,1,2
13177,1388.6,29.0,20.7,9.5,89.7,140.7,4,10
13178,237.0,60.1,12.2,1.6,0.6,0.9,1,1
13179,205.3,42.2,0.2,0.2,0.5,1.4,1,1
13180,253.7,48.6,1.2,2.7,0.8,1.2,1,1
13181,948.0,53.6,7.5,5.7,110.5,340.8,4,10
13182,500.7,3.9,3.6,0.3,12.3,33.3,1,2
13183,343.8,65.8,8.4,18.4,3.9,6.8,1,1
13184,373.8,11.1,18.5,3.3,9.2,9.9,1,1
13185,247.0,37.9,8.9,3.8,1.6,1.8,1,1
13186,370.5,55.1,39.8,49.1,62.7,103.8,3,8
13187,1094.8,25.4,39.8,3.3,42.2,60.1,3,5
13188,201.9,12.7,0.2,0.1,0.5,0.7,1,1
13189,310.4,8.9,0.1,0.0,1.0,1.0,1,1
13190,337.1,34.7,2.9,3.5,0.6,0.9,1,1
13191,233.7,3.4,15.8,14.4,10.0,10.6,1,1
13192,233.7,26.1,0.1,0.1,1.3,1.7,1,1
13193,233.7,57.9,3.2,2.7,4.7,15.1,1,1
13194,754.4,4.7,14.6,3.4,20.9,31.2,2,2
13195,367.2,31.1,21.8,18.8,11.2,15.5,1,1
13196,220.3,84.4,2.7,0.9,5.0,20.6,1,1
13197,297.1,62.9,38.7,15.3,42.8,74.7,3,5
13198,250.3,62.2,2.6,0.4,1.4,2.0,1,1
13199,277.0,2.3,31.2,13.5,3.8,5.0,1,1
13200,514.0,30.4,2.1,0.6,9.7,13.8,1,1
13201,188.6,35.4,0.3,0.2,1.2,4.7,1,1
13202,203.6,36.1,0.2,0.1,0.6,1.4,1,1
13203,212.0,37.9,0.7,0.4,1.1,3.0,1,1
13204,195.3,36.5,0.3,0.3,3.5,6.0,1,1
13205,230.3,78.7,1.9,0.5,0.6,0.9,1,1
13206,233.7,63.7,7.3,2.1,0.5,0.7,1,1
13207,480.7,0.0,74.0,35.3,40.7,104.1,3,4
13208,217.0,62.9,1.7,1.3,62.5,268.6,3,8
13209,313.8,9.5,27.4,1.2,17.9,29.1,2,2
13210,337.1,47.9,0.2,0.3,0.6,1.4,1,1
13211,330.5,35.8,0.4,0.1,10.1,13.5,1,1
13212,3631.6,0.0,126.1,40.5,112.1,117.0,4,10
13213,240.3,63.7,3.5,0.6,1.7,2.7,1,1
13214,243.7,67.2,4.3,1.0,1.7,2.6,1,1
13215,201.9,18.6,0.9,0.5,0.5,0.6,1,1
13216,567.4,9.9,2.1,0.6,12.5,27.8,1,2
13217,614.2,29.7,18.7,11.0,26.9,37.3,2,3
13218,323.8,47.9,12.2,7.0,3.0,5.0,1,1
13219,178.6,59.4,0.4,0.3,31.2,99.5,2,3
13220,208.6,78.0,2.6,0.3,1.9,3.7,1,1
13221,514.0,27.9,8.8,3.6,2.0,2.9,1,1
13222,350.5,52.2,3.9,1.7,23.4,105.5,2,2
13223,257.0,22.7,0.0,0.1,2.0,7.2,1,1
13224,277.0,42.2,11.0,6.3,4.4,5.5,1,1
13225,243.7,71.5,5.8,1.1,1.1,1.3,1,1
13226,196.9,52.9,11.7,6.0,15.1,44.1,1,2
13227,190.3,56.5,1.8,5.3,2.0,3.7,1,1
13228,237.0,25.0,0.3,0.1,0.5,1.2,1,1
13229,9719.9,0.0,161.8,125.9,411.6,489.8,6,10
13230,280.4,44.7,0.4,0.2,5.2,9.0,1,1
13231,237.0,44.7,2.4,0.2,2.4,2.9,1,1
13232,203.6,47.2,0.1,0.5,4.6,19.4,1,1
13233,250.3,52.9,6.4,0.8,0.6,1.0,1,1
13234,280.4,47.9,9.4,2.0,4.4,9.7,1,1
13235,554.1,0.3,44.6,28.6,47.1,56.0,3,5
13236,243.7,65.1,8.5,4.2,18.9,58.5,2,2
13237,168.6,20.6,0.0,0.0,0.5,1.2,1,1
13238,1442.0,0.5,7.5,2.5,65.5,86.9,4,9
13239,270.4,3.0,21.4,5.2,7.5,8.2,1,1
13240,257.0,130.2,0.4,1.4,24.7,43.2,2,3
13241,257.0,29.0,32.2,8.8,2.5,3.1,1,1
13242,303.8,35.1,4.8,0.2,2.1,2.5,1,1
13243,363.8,54.4,6.5,13.1,2.9,5.3,1,1
13244,323.8,0.3,45.2,1.8,5.1,6.0,1,1
13245,201.9,28.3,0.0,0.2,3.6,10.0,1,1
13246,494.0,35.4,46.6,57.7,16.9,17.2,2,2
13247,1041.4,5.2,48.7,24.1,61.5,76.6,3,8
13248,223.6,58.7,6.9,11.1,19.8,58.0,2,2
13249,974.7,38.6,4.4,4.9,10.1,16.7,1,1
13250,330.5,29.7,4.1,5.5,10.1,15.3,1,1
13251,1134.9,66.5,10.2,0.5,19.6,32.1,2,2
13252,220.3,83.0,1.5,8.4,6.6,9.2,1,1
13253,207.0,89.4,6.3,1.1,2.2,7.3,1,1
13254,185.3,42.9,1.4,0.2,0.5,0.7,1,1
13255,460.6,18.6,5.4,3.3,10.5,23.1,1,1
13256,205.3,34.3,0.7,0.8,0.7,2.1,1,1
13257,253.7,55.1,1.7,0.7,1.3,1.9,1,1
13258,223.6,43.3,24.3,2.4,7.2,7.6,1,1
13259,205.3,20.4,4.4,0.3,0.8,2.2,1,1
13260,240.3,67.2,4.2,0.7,0.5,0.9,1,1
13261,220.3,70.1,6.4,1.6,11.4,21.5,1,1
13262,210.3,88.7,0.3,0.4,2.0,5.5,1,1
13263,220.3,105.9,3.7,9.4,24.3,81.4,2,3
13264,827.8,40.4,14.7,2.2,100.8,114.5,4,10
13265,280.4,22.2,4.4,1.8,1.8,3.2,1,1
13266,223.6,52.2,3.3,2.4,1.8,2.0,1,1
13267,253.7,45.8,9.2,1.6,1.4,2.5,1,1
13268,196.9,28.6,0.2,0.0,0.8,0.8,1,1
13269,567.4,9.8,5.3,2.4,9.4,18.3,1,1
13270,260.4,43.3,1.3,0.2,9.2,11.6,1,1
13271,233.7,37.2,0.2,0.1,1.2,1.7,1,1
13272,217.0,80.1,1.2,1.8,0.8,1.5,1,1
13273,614.2,0.1,15.9,2.5,9.2,13.9,1,1
13274,393.9,75.1,0.7,0.4,12.2,13.0,1,2
13275,440.6,37.9,4.7,2.1,5.2,5.5,1,1
13276,212.0,90.8,1.5,6.0,3.5,4.5,1,1
13277,1628.9,16.3,17.0,7.6,111.9,242.8,4,10
13278,854.5,16.3,4.8,1.1,24.7,60.1,2,3
13279,207.0,44.4,0.1,0.1,0.8,1.6,1,1
13280,201.9,60.1,1.3,0.3,22.2,121.8,2,2
13281,2056.1,7.0,26.7,6.8,124.4,146.5,4,10
13282,574.1,0.3,4.4,2.0,18.2,32.5,2,2
13283,230.3,71.5,0.6,0.3,0.5,0.6,1,1
13284,357.2,0.5,0.9,0.4,5.8,7.8,1,1
13285,253.7,49.4,1.0,0.7,34.9,121.5,2,3
13286,327.1,89.4,4.2,7.5,13.0,21.0,1,2
13287,283.7,65.8,12.0,15.7,5.1,15.0,1,1
13288,223.6,67.2,1.8,0.7,1.9,2.9,1,1
13289,247.0,33.3,0.2,0.2,2.2,8.5,1,1
13290,674.3,0.1,9.1,1.5,17.3,82.5,2,2
13291,233.7,18.8,3.2,2.8,1.0,1.5,1,1
13292,297.1,52.9,11.8,0.1,4.0,7.3,1,1
13293,220.3,91.6,1.8,3.7,4.9,14.4,1,1
13294,303.8,50.1,6.5,12.2,21.6,69.3,2,2
13295,230.3,53.6,4.8,1.4,0.5,1.1,1,1
13296,674.3,0.1,9.1,1.5,17.3,82.5,2,2
13297,327.1,44.4,14.4,2.5,2.5,3.4,1,1
13298,260.4,77.3,4.0,5.1,6.8,14.3,1,1
13299,208.6,34.7,1.0,0.4,0.6,1.3,1,1
13300,267.0,82.3,8.1,13.2,4.9,7.3,1,1
13301,1148.2,1.4,43.9,32.4,11.3,13.6,1,1
13302,247.0,49.4,15.9,18.1,23.2,96.1,2,2
13303,237.0,36.1,1.3,2.6,1.1,2.3,1,1
13304,367.2,14.1,0.1,0.0,0.6,0.9,1,1
13305,494.0,47.2,2.6,0.8,12.8,24.3,1,2
13306,253.7,41.8,4.5,1.9,2.4,2.8,1,1
13307,230.3,9.0,1.7,0.5,4.4,8.5,1,1
13308,2670.3,21.1,18.5,5.3,97.2,188.8,4,10
13309,198.6,18.1,2.2,2.4,4.5,6.6,1,1
13310,287.1,33.6,9.3,3.3,4.9,6.5,1,1
13311,260.4,48.6,6.3,1.2,1.6,2.5,1,1
13312,423.9,13.4,3.1,2.4,3.1,4.6,1,1
13313,200.3,72.2,0.4,0.4,61.0,272.7,3,8
13314,427.3,26.8,10.3,0.3,26.3,36.6,2,3
13315,250.3,46.5,9.9,2.6,0.7,0.9,1,1
13316,500.7,43.6,7.5,4.1,17.6,30.1,2,2
13317,230.3,76.5,7.4,5.7,2.6,6.2,1,1
13318,247.0,27.2,2.3,1.2,1.0,1.8,1,1
13319,223.6,25.8,1.1,11.1,2.3,4.7,1,1
13320,280.4,39.3,0.1,0.0,11.8,22.1,1,1
13321,243.7,35.1,0.4,0.4,51.9,153.6,3,6
13322,280.4,25.8,4.0,3.9,2.3,7.4,1,1
13323,547.4,144.5,2.4,4.7,10.4,21.0,1,1
13324,313.8,68.7,9.2,0.7,2.8,8.3,1,1
13325,253.7,26.8,1.2,0.4,0.6,1.8,1,1
13326,323.8,16.8,20.6,2.1,6.6,8.8,1,1
13327,230.3,85.1,0.1,0.0,0.5,0.9,1,1
13328,1415.3,8.2,39.4,16.9,107.4,138.7,4,10
13329,14312.7,0.0,104.2,106.8,455.3,624.9,6,10
13330,2430.0,0.0,205.6,217.4,51.9,60.9,3,6
13331,410.6,20.0,35.3,16.9,27.5,74.4,2,3
13332,230.3,42.6,4.8,2.1,0.5,0.6,1,1
13333,273.7,25.4,50.0,7.4,31.9,88.2,2,3
13334,313.8,68.7,9.2,0.7,2.8,8.3,1,1
13335,494.0,70.1,6.8,8.2,8.6,10.2,1,1
13336,667.6,0.0,82.3,60.6,59.1,67.8,3,8
13337,230.3,34.0,32.6,8.5,21.5,49.7,2,2
13338,280.4,19.9,12.0,23.8,4.5,4.9,1,1
13339,894.6,10.3,8.3,2.5,22.7,39.3,2,2
13340,168.6,7.2,0.0,0.0,0.5,0.9,1,1
13341,243.7,104.4,4.1,3.3,25.0,77.8,2,3
13342,270.4,39.0,18.5,6.3,11.2,12.8,1,1
13343,794.4,57.2,11.8,3.1,34.5,50.6,2,3
13344,303.8,29.7,8.5,1.7,6.5,9.8,1,1
13345,217.0,78.7,2.5,6.9,14.3,54.4,1,2
13346,323.8,19.5,2.4,0.6,4.8,7.1,1,1
13347,330.5,45.1,0.2,0.1,2.0,3.2,1,1
13348,387.2,5.4,2.7,0.7,13.7,14.8,1,2
13349,227.0,58.7,3.8,0.7,0.5,0.8,1,1
13350,260.4,47.2,3.7,1.3,3.2,4.6,1,1
13351,227.0,66.5,3.7,0.5,0.6,0.9,1,1
13352,403.9,27.5,2.6,1.4,7.8,11.9,1,1
13353,230.3,27.9,0.4,0.1,1.4,3.3,1,1
13354,5233.8,0.0,104.2,32.4,228.8,243.2,5,10
13355,350.5,43.6,0.0,0.0,0.5,1.5,1,1
13356,507.4,29.3,3.0,2.5,58.4,173.0,3,7
13357,205.3,101.6,0.7,0.6,5.7,19.3,1,1
13358,175.2,60.1,0.0,0.3,2.1,12.0,1,1
13359,320.4,53.6,2.2,1.1,64.1,249.4,3,8
13360,253.7,47.2,3.9,3.3,1.6,3.7,1,1
13361,283.7,118.7,4.5,10.9,13.7,15.5,1,2
13362,171.9,33.3,0.0,0.1,0.5,1.3,1,1
13363,243.7,35.8,1.0,0.7,0.5,0.6,1,1
13364,240.3,55.1,4.6,0.8,1.3,1.8,1,1
13365,277.0,61.5,9.0,45.8,6.0,18.1,1,1
13366,223.6,63.7,2.4,7.9,6.9,8.3,1,1
13367,210.3,101.6,0.3,0.3,2.3,8.3,1,1
13368,293.7,43.3,1.3,0.9,4.2,19.1,1,1
13369,370.5,7.2,1.5,0.2,17.3,20.5,2,2
13370,203.6,52.9,0.3,0.5,5.7,27.1,1,1
