id,country,location_name,latitude,longitude,timezone
3307,Uruguay,Montevideo,-34.86,-56.17,America/Montevideo
3308,Uzbekistan,Tashkent,41.32,69.25,Asia/Tashkent
3309,Vanuatu,Port Vila,-17.73,168.32,Pacific/Efate
3310,Venezuela,Caracas,10.5,-66.92,America/Caracas
3311,Vietnam,Hanoi,21.03,105.85,Asia/Bangkok
3312,Yemen,Sanaa,15.35,44.21,Asia/Aden
3313,Zambia,Lusaka,-15.42,28.28,Africa/Lusaka
3314,Zimbabwe,Harare,-17.82,31.04,Africa/Harare
3315,Afghanistan,Kabul,34.52,69.18,Asia/Kabul
3316,Albania,Tirana,41.33,19.82,Europe/Tirane
3317,Algeria,Algiers,36.76,3.05,Africa/Algiers
3318,Andorra,Andorra La Vella,42.5,1.52,Europe/Andorra
3319,Angola,Luanda,-8.84,13.23,Africa/Luanda
3320,Antigua and Barbuda,Saint John's,17.12,-61.85,America/Antigua
3321,Argentina,Buenos Aires,-34.59,-58.67,America/Argentina/Buenos_Aires
3322,Armenia,Yerevan,40.18,44.51,Asia/Yerevan
3323,Australia,Canberra,-35.28,149.22,Australia/Sydney
3324,Austria,Vienna,48.2,16.37,Europe/Vienna
3325,Azerbaijan,Baku,40.4,49.88,Asia/Baku
3326,Bahamas,Nassau,25.08,-77.35,America/Nassau
3327,Bahrain,Manama,26.24,50.58,Asia/Bahrain
3328,Bangladesh,Dhaka,23.72,90.41,Asia/Dhaka
3329,Barbados,Bridgetown,13.1,-59.62,America/Barbados
3330,Belarus,Minsk,53.9,27.57,Europe/Minsk
3331,Belgium,Brussels,50.83,4.33,Europe/Brussels
3332,Belize,Belmopan,17.25,-88.77,America/Belize
3333,Benin,Porto-Novo,6.48,2.62,Africa/Porto-Novo
3334,Bhutan,Thimphu,27.48,89.6,Asia/Thimphu
3335,Bolivia,Sucre,-19.04,-65.26,America/La_Paz
3336,Bosnia and Herzegovina,Sarajevo,43.85,18.38,Europe/Sarajevo
3337,Botswana,Gaborone,-24.65,25.91,Africa/Gaborone
3338,Brazil,Bras,-2.08,-58.17,America/Manaus
3339,Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,Asia/Brunei
3340,Bulgaria,Sofia,42.68,23.32,Europe/Sofia
3341,Burkina Faso,Ouagadougou,12.37,-1.52,Africa/Ouagadougou
3342,Burundi,Bujumbura,-3.38,29.36,Africa/Bujumbura
3343,Madagascar,Ivory,-24.37,46.45,Indian/Antananarivo
3344,Cape Verde,Praia,14.93,-23.51,Atlantic/Cape_Verde
3345,Cambodia,Phnom Penh,11.55,104.92,Asia/Phnom_Penh
3346,Cameroon,Bafoussam,5.47,10.42,Africa/Douala
3347,Canada,Ottawa,45.42,-75.7,America/Toronto
3348,Central African Republic,Bangui,4.37,18.58,Africa/Bangui
3349,Chad,N'djamena,12.11,15.05,Africa/Douala
3350,Chile,Santiago,-33.45,-70.67,America/Santiago
3351,China,Beijing,39.93,116.39,Asia/Shanghai
3352,Bulgaria,Bogot,43.32,24.7,Europe/Sofia
3353,Comoros,Moroni,-11.7,43.24,Indian/Comoro
3354,Congo,Brazzaville,-4.26,15.28,Africa/Brazzaville
3355,Costa Rica,San Juan,9.97,-84.08,America/Costa_Rica
3356,Croatia,Zagreb,45.8,16.0,Europe/Zagreb
3357,Cuba,Havana,23.13,-82.36,America/Havana
3358,Cyprus,Nicosia,35.17,33.37,Asia/Famagusta
3359,Czech Republic,Prague,50.08,14.47,Europe/Prague
3360,Democratic Republic of Congo,Kinshasa,-4.3,15.3,Africa/Brazzaville
3361,Denmark,Copenhagen,55.67,12.58,Europe/Copenhagen
3362,Djibouti,Djibouti,11.6,43.15,Africa/Djibouti
3363,Dominica,Roseau,15.3,-61.4,America/Dominica
3364,Dominican Republic,Santo Domingo,18.47,-69.9,America/Santo_Domingo
3365,Ecuador,Quito,-0.22,-78.5,America/Guayaquil
3366,Egypt,Cairo,30.05,31.25,Africa/Cairo
3367,El Salvador,San Salvador,13.71,-89.2,America/El_Salvador
3368,Equatorial Guinea,Malabo,3.75,8.78,Africa/Malabo
3369,Eritrea,Asmara,15.33,38.93,Africa/Asmara
3370,Estonia,Tallinn,59.43,24.73,Europe/Tallinn
3371,Swaziland,Mbabane,-26.32,31.13,Africa/Mbabane
3372,Ethiopia,Addis Ababa,9.03,38.7,Africa/Addis_Ababa
3373,Fiji Islands,Suva,-18.13,178.42,Pacific/Fiji
3374,Finland,Helsinki,60.18,24.93,Europe/Helsinki
3375,France,Paris,48.87,2.33,Europe/Paris
3376,Gabon,Libreville,0.38,9.45,Africa/Libreville
3377,Gambia,Banjul,13.45,-16.58,Africa/Banjul
3378,Georgia,Tbilisi,41.73,44.79,Asia/Tbilisi
3379,Germany,Berlin,52.52,13.4,Europe/Berlin
3380,Ghana,Accra,5.55,-0.22,Africa/Accra
3381,Greece,Athens,37.98,23.72,Europe/Athens
3382,Grenada,Saint George's,12.05,-61.75,America/Grenada
3383,Guatemala,Guatemala City,14.62,-90.53,America/Guatemala
3384,Guinea,Conakry,9.51,-13.71,Africa/Conakry
3385,Guinea-Bissau,Bissau,11.85,-15.58,Africa/Bissau
3386,Guyana,Georgetown,6.8,-58.17,America/Guyana
3387,Haiti,Port-Au-Prince,18.54,-72.34,America/Port-au-Prince
3388,Vatican City,Vatican City,41.9,12.45,Europe/Rome
3389,Honduras,Tegucigalpa,14.1,-87.22,America/Tegucigalpa
3390,Hungary,Budapest,47.5,19.08,Europe/Budapest
3391,Iceland,Hella,63.83,-20.4,Atlantic/Reykjavik
3392,India,New Delhi,28.6,77.2,Asia/Kolkata
3393,Indonesia,Jakarta,-6.21,106.85,Asia/Jakarta
3394,Iran,Tehran,35.73,51.33,Asia/Tehran
3395,Iraq,Baghdad,33.34,44.39,Asia/Baghdad
3396,Ireland,Dublin,53.33,-6.25,Europe/Dublin
3397,Israel,Jerusalem,31.78,35.23,Asia/Jerusalem
3398,Italy,Rome,41.9,12.48,Europe/Rome
3399,Jamaica,Norman Gardens,17.97,-76.75,America/Jamaica
3400,Japan,Tokyo,35.69,139.69,Asia/Tokyo
3401,Jordan,Amman,31.95,35.93,Asia/Amman
3402,Kazakhstan,Astana,51.18,71.43,Asia/Almaty
3403,Kenya,Nairobi,-1.28,36.82,Africa/Nairobi
3404,Kiribati,Tarawa,-0.88,169.53,Pacific/Tarawa
3405,Kuwait,Kuwait City,29.37,47.96,Asia/Kuwait
3406,Kyrghyzstan,Bishkek,42.87,74.6,Asia/Bishkek
3407,Indonesia,Laos,-8.18,114.32,Asia/Jakarta
3408,Latvia,Riga,56.95,24.1,Europe/Riga
3409,Lebanon,Beirut,33.87,35.51,Asia/Beirut
3410,Lesotho,Maseru,-29.32,27.48,Africa/Johannesburg
3411,Liberia,Monrovia,6.31,-10.8,Africa/Monrovia
3412,Thailand,Nan,18.78,100.78,Asia/Bangkok
3413,Liechtenstein,Vaduz,47.13,9.52,Europe/Vaduz
3414,Lithuania,Vilnius,54.68,25.32,Europe/Vilnius
3415,Luxembourg,Luxembourg,49.61,6.13,Europe/Luxembourg
3416,Madagascar,Antananarivo,-18.92,47.52,Indian/Antananarivo
3417,Malawi,Lilongwe,-13.98,33.78,Africa/Blantyre
3418,Malaysia,Kuala Lumpur,3.17,101.7,Asia/Kuala_Lumpur
3419,Maldives,Farukolhufunadhoo,6.15,73.27,Indian/Maldives
3420,Mali,Bamako,12.65,-8.0,Africa/Bamako
3421,Malta,Valletta,35.9,14.51,Europe/Malta
3422,Marshall Islands,Majuro,7.1,171.38,Pacific/Majuro
3423,Mauritania,Nouakchott,18.09,-15.98,Africa/Nouakchott
3424,Mauritius,Port Louis,-20.16,57.5,Indian/Mauritius
3425,Mexico,Mexico City,19.43,-99.13,America/Mexico_City
3426,Micronesia,Palikir,6.92,158.15,Pacific/Pohnpei
3427,Russia,Chi-Chi-Erh,51.7,94.45,Asia/Krasnoyarsk
3428,Monaco,Monaco,43.73,7.42,Europe/Monaco
3429,Mongolia,Ulaanbaatar,47.92,106.92,Asia/Ulaanbaatar
3430,Montenegro,Podgorica,42.44,19.26,Europe/Podgorica
3431,Morocco,Rabat,34.03,-6.84,Africa/Casablanca
3432,Mozambique,Maputo,-25.97,32.59,Africa/Maputo
3433,Myanmar,Pathein,16.78,94.73,Asia/Yangon
3434,Namibia,Windhoek,-22.57,17.08,Africa/Windhoek
3435,Turkey,Yaren,39.55,27.62,Europe/Istanbul
3436,Nepal,Kathmandu,27.72,85.32,Asia/Kathmandu
3437,Netherlands,Amsterdam,52.37,4.89,Europe/Amsterdam
3438,New Zealand,Wellington,-41.3,174.78,Pacific/Auckland
3439,Nicaragua,Managua,12.15,-86.27,America/Managua
3440,Niger,Niamey,13.52,2.12,Africa/Niamey
3441,Nigeria,Abuja,9.18,7.18,Africa/Lagos
3442,North Korea,Pyongyang,39.02,125.75,Asia/Pyongyang
3443,Macedonia,Skopje,42.0,21.43,Europe/Skopje
3444,Norway,Oslo,59.92,10.75,Europe/Oslo
3445,Oman,Muscat,23.61,58.59,Asia/Muscat
3446,Pakistan,Islamabad,33.7,73.17,Asia/Karachi
3447,Palau,Adkip,7.36,134.51,Pacific/Palau
3448,Bolivia,National,-11.18,-67.08,America/La_Paz
3449,Panama,Panama City,8.97,-79.53,America/Panama
3450,Papua New Guinea,Port Moresby,-9.46,147.19,Pacific/Port_Moresby
3451,Paraguay,Carreria,-21.55,-58.12,America/Asuncion
3452,Peru,Lima,-12.05,-77.05,America/Lima
3453,Philippines,Manila,14.6,120.98,Asia/Manila
3454,Poland,Warsaw,52.25,21.0,Europe/Warsaw
3455,Portugal,Lisbon,38.72,-9.13,Europe/Lisbon
3456,Qatar,Doha,25.29,51.53,Asia/Qatar
3457,Romania,Bucharest,44.43,26.1,Europe/Bucharest
3458,Russia,Moscow,55.75,37.62,Europe/Moscow
3459,Rwanda,Kigali,-1.95,30.06,Africa/Kigali
3460,Saint Kitts and Nevis,Basseterre,17.3,-62.72,America/St_Kitts
3461,Saint Lucia,Castries,14.0,-61.0,America/St_Lucia
3462,Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,America/St_Vincent
3463,Samoa,Apia,-13.83,-171.73,Pacific/Apia
3464,San Marino,San Marino,43.93,12.45,Europe/Rome
3465,Belgium,'S-Gravenwezel,51.27,4.55,Europe/Brussels
3466,Saudi Arabia,Riyadh,24.64,46.77,Asia/Riyadh
3467,Senegal,Dakar,14.67,-17.44,Africa/Dakar
3468,Serbia,Belgrade,44.8,20.47,Europe/Belgrade
3469,Seychelles Islands,Victoria,-4.62,55.45,Indian/Mahe
3470,Sierra Leone,Freetown,8.49,-13.23,Africa/Freetown
3471,Singapore,Singapore,1.29,103.86,Asia/Singapore
3472,Slovakia,Bratislava,48.15,17.12,Europe/Bratislava
3473,Slovenia,Ljubljana,46.06,14.51,Europe/Ljubljana
3474,Solomon Islands,Honiara,-9.43,159.95,Pacific/Guadalcanal
3475,Somalia,Mogadishu,2.07,45.37,Africa/Mogadishu
3476,South Africa,Pretoria,-25.75,28.19,Africa/Johannesburg
3477,South Korea,Seoul,37.57,127.0,Asia/Seoul
3478,Sudan,Juba,12.15,24.45,Africa/Khartoum
3479,Spain,Madrid,40.4,-3.68,Europe/Madrid
3480,Sri Lanka,Colombo,6.93,79.85,Asia/Colombo
3481,Sudan,Khartoum,15.59,32.53,Africa/Khartoum
3482,Suriname,Paramaribo,5.83,-55.17,America/Paramaribo
3483,Sweden,Stockholm,59.33,18.05,Europe/Stockholm
3484,Switzerland,Bern,46.92,7.47,Europe/Zurich
3485,Syria,Damascus,33.5,36.3,Asia/Damascus
3486,Tajikistan,Dushanbe,38.56,68.77,Asia/Dushanbe
3487,Tanzania,Dodoma,-6.18,35.75,Africa/Dar_es_Salaam
3488,Thailand,Bangkok,13.75,100.52,Asia/Bangkok
3489,Timor-Leste,Dili,-8.56,125.57,Asia/Dili
3490,Bulgaria,Lom,43.81,23.24,Europe/Bucharest
3491,Tonga,Nuku`Aloia,-21.13,-175.2,Pacific/Tongatapu
3492,Trinidad and Tobago,Port Of Spain,10.65,-61.52,America/Port_of_Spain
3493,Tunisia,Tunis,36.8,10.18,Africa/Tunis
3494,Turkey,Ankara,39.93,32.86,Europe/Istanbul
3495,Turkmenistan,Ashgabat,37.95,58.38,Asia/Ashgabat
3496,Tuvalu,Funafuti,-8.52,179.22,Pacific/Funafuti
3497,Uganda,Kampala,0.32,32.57,Africa/Kampala
3498,Ukraine,Kyiv,50.43,30.52,Europe/Kiev
3499,United Arab Emirates,Abu Dhabi,24.47,54.37,Asia/Dubai
3500,United Kingdom,London,51.52,-0.11,Europe/London
3501,United States of America,Washington Park,46.6,-120.49,America/Los_Angeles
3502,Uruguay,Montevideo,-34.86,-56.17,America/Montevideo
3503,Uzbekistan,Tashkent,41.32,69.25,Asia/Tashkent
3504,Vanuatu,Port Vila,-17.73,168.32,Pacific/Efate
3505,Venezuela,Caracas,10.5,-66.92,America/Caracas
3506,Vietnam,Hanoi,21.03,105.85,Asia/Bangkok
3507,Yemen,Sanaa,15.35,44.21,Asia/Aden
3508,Zambia,Lusaka,-15.42,28.28,Africa/Lusaka
3509,Zimbabwe,Harare,-17.82,31.04,Africa/Harare
3510,Afghanistan,Kabul,34.52,69.18,Asia/Kabul
3511,Albania,Tirana,41.33,19.82,Europe/Tirane
3512,Algeria,Algiers,36.76,3.05,Africa/Algiers
3513,Andorra,Andorra La Vella,42.5,1.52,Europe/Andorra
3514,Angola,Luanda,-8.84,13.23,Africa/Luanda
3515,Antigua and Barbuda,Saint John's,17.12,-61.85,America/Antigua
3516,Argentina,Buenos Aires,-34.59,-58.67,America/Argentina/Buenos_Aires
3517,Armenia,Yerevan,40.18,44.51,Asia/Yerevan
3518,Australia,Canberra,-35.28,149.22,Australia/Sydney
3519,Austria,Vienna,48.2,16.37,Europe/Vienna
3520,Azerbaijan,Baku,40.4,49.88,Asia/Baku
3521,Bahamas,Nassau,25.08,-77.35,America/Nassau
3522,Bahrain,Manama,26.24,50.58,Asia/Bahrain
3523,Bangladesh,Dhaka,23.72,90.41,Asia/Dhaka
3524,Barbados,Bridgetown,13.1,-59.62,America/Barbados
3525,Belarus,Minsk,53.9,27.57,Europe/Minsk
3526,Belgium,Brussels,50.83,4.33,Europe/Brussels
3527,Belize,Belmopan,17.25,-88.77,America/Belize
3528,Benin,Porto-Novo,6.48,2.62,Africa/Porto-Novo
3529,Bhutan,Thimphu,27.48,89.6,Asia/Thimphu
3530,Bolivia,Sucre,-19.04,-65.26,America/La_Paz
3531,Bosnia and Herzegovina,Sarajevo,43.85,18.38,Europe/Sarajevo
3532,Botswana,Gaborone,-24.65,25.91,Africa/Gaborone
3533,Brazil,Bras,-2.08,-58.17,America/Manaus
3534,Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,Asia/Brunei
3535,Bulgaria,Sofia,42.68,23.32,Europe/Sofia
3536,Burkina Faso,Ouagadougou,12.37,-1.52,Africa/Ouagadougou
3537,Burundi,Bujumbura,-3.38,29.36,Africa/Bujumbura
3538,Madagascar,Ivory,-24.37,46.45,Indian/Antananarivo
3539,Cape Verde,Praia,14.93,-23.51,Atlantic/Cape_Verde
3540,Cambodia,Phnom Penh,11.55,104.92,Asia/Phnom_Penh
3541,Cameroon,Bafoussam,5.47,10.42,Africa/Douala
3542,Canada,Ottawa,45.42,-75.7,America/Toronto
3543,Central African Republic,Bangui,4.37,18.58,Africa/Bangui
3544,Chad,N'djamena,12.11,15.05,Africa/Douala
3545,Chile,Santiago,-33.45,-70.67,America/Santiago
3546,China,Beijing,39.93,116.39,Asia/Shanghai
3547,Bulgaria,Bogot,43.32,24.7,Europe/Sofia
3548,Comoros,Moroni,-11.7,43.24,Indian/Comoro
3549,Congo,Brazzaville,-4.26,15.28,Africa/Brazzaville
3550,Costa Rica,San Juan,9.97,-84.08,America/Costa_Rica
3551,Croatia,Zagreb,45.8,16.0,Europe/Zagreb
3552,Cuba,Havana,23.13,-82.36,America/Havana
3553,Cyprus,Nicosia,35.17,33.37,Asia/Famagusta
3554,Czech Republic,Prague,50.08,14.47,Europe/Prague
3555,Democratic Republic of Congo,Kinshasa,-4.3,15.3,Africa/Brazzaville
3556,Denmark,Copenhagen,55.67,12.58,Europe/Copenhagen
3557,Djibouti,Djibouti,11.6,43.15,Africa/Djibouti
3558,Dominica,Roseau,15.3,-61.4,America/Dominica
3559,Dominican Republic,Santo Domingo,18.47,-69.9,America/Santo_Domingo
3560,Ecuador,Quito,-0.22,-78.5,America/Guayaquil
3561,Egypt,Cairo,30.05,31.25,Africa/Cairo
3562,El Salvador,San Salvador,13.71,-89.2,America/El_Salvador
3563,Equatorial Guinea,Malabo,3.75,8.78,Africa/Malabo
3564,Eritrea,Asmara,15.33,38.93,Africa/Asmara
3565,Estonia,Tallinn,59.43,24.73,Europe/Tallinn
3566,Swaziland,Mbabane,-26.32,31.13,Africa/Mbabane
3567,Ethiopia,Addis Ababa,9.03,38.7,Africa/Addis_Ababa
3568,Fiji Islands,Suva,-18.13,178.42,Pacific/Fiji
3569,Finland,Helsinki,60.18,24.93,Europe/Helsinki
3570,France,Paris,48.87,2.33,Europe/Paris
3571,Gabon,Libreville,0.38,9.45,Africa/Libreville
3572,Gambia,Banjul,13.45,-16.58,Africa/Banjul
3573,Georgia,Tbilisi,41.73,44.79,Asia/Tbilisi
3574,Germany,Berlin,52.52,13.4,Europe/Berlin
3575,Ghana,Accra,5.55,-0.22,Africa/Accra
3576,Greece,Athens,37.98,23.72,Europe/Athens
3577,Grenada,Saint George's,12.05,-61.75,America/Grenada
3578,Guatemala,Guatemala City,14.62,-90.53,America/Guatemala
3579,Guinea,Conakry,9.51,-13.71,Africa/Conakry
3580,Guinea-Bissau,Bissau,11.85,-15.58,Africa/Bissau
3581,Guyana,Georgetown,6.8,-58.17,America/Guyana
3582,Haiti,Port-Au-Prince,18.54,-72.34,America/Port-au-Prince
3583,Vatican City,Vatican City,41.9,12.45,Europe/Rome
3584,Honduras,Tegucigalpa,14.1,-87.22,America/Tegucigalpa
3585,Hungary,Budapest,47.5,19.08,Europe/Budapest
3586,Iceland,Hella,63.83,-20.4,Atlantic/Reykjavik
3587,India,New Delhi,28.6,77.2,Asia/Kolkata
3588,Indonesia,Jakarta,-6.21,106.85,Asia/Jakarta
3589,Iran,Tehran,35.73,51.33,Asia/Tehran
3590,Iraq,Baghdad,33.34,44.39,Asia/Baghdad
3591,Ireland,Dublin,53.33,-6.25,Europe/Dublin
3592,Israel,Jerusalem,31.78,35.23,Asia/Jerusalem
3593,Italy,Rome,41.9,12.48,Europe/Rome
3594,Jamaica,Norman Gardens,17.97,-76.75,America/Jamaica
3595,Japan,Tokyo,35.69,139.69,Asia/Tokyo
3596,Jordan,Amman,31.95,35.93,Asia/Amman
3597,Kazakhstan,Astana,51.18,71.43,Asia/Almaty
3598,Kenya,Nairobi,-1.28,36.82,Africa/Nairobi
3599,Kiribati,Tarawa,-0.88,169.53,Pacific/Tarawa
3600,Kuwait,Kuwait City,29.37,47.96,Asia/Kuwait
3601,Kyrghyzstan,Bishkek,42.87,74.6,Asia/Bishkek
3602,Indonesia,Laos,-8.18,114.32,Asia/Jakarta
3603,Latvia,Riga,56.95,24.1,Europe/Riga
3604,Lebanon,Beirut,33.87,35.51,Asia/Beirut
3605,Lesotho,Maseru,-29.32,27.48,Africa/Johannesburg
3606,Liberia,Monrovia,6.31,-10.8,Africa/Monrovia
3607,Thailand,Nan,18.78,100.78,Asia/Bangkok
3608,Liechtenstein,Vaduz,47.13,9.52,Europe/Vaduz
3609,Lithuania,Vilnius,54.68,25.32,Europe/Vilnius
3610,Luxembourg,Luxembourg,49.61,6.13,Europe/Luxembourg
3611,Madagascar,Antananarivo,-18.92,47.52,Indian/Antananarivo
3612,Malawi,Lilongwe,-13.98,33.78,Africa/Blantyre
3613,Malaysia,Kuala Lumpur,3.17,101.7,Asia/Kuala_Lumpur
3614,Maldives,Farukolhufunadhoo,6.15,73.27,Indian/Maldives
3615,Mali,Bamako,12.65,-8.0,Africa/Bamako
3616,Malta,Valletta,35.9,14.51,Europe/Malta
3617,Marshall Islands,Majuro,7.1,171.38,Pacific/Majuro
3618,Mauritania,Nouakchott,18.09,-15.98,Africa/Nouakchott
3619,Mauritius,Port Louis,-20.16,57.5,Indian/Mauritius
3620,Mexico,Mexico City,19.43,-99.13,America/Mexico_City
3621,Micronesia,Palikir,6.92,158.15,Pacific/Pohnpei
3622,Russia,Chi-Chi-Erh,51.7,94.45,Asia/Krasnoyarsk
3623,Monaco,Monaco,43.73,7.42,Europe/Monaco
3624,Mongolia,Ulaanbaatar,47.92,106.92,Asia/Ulaanbaatar
3625,Montenegro,Podgorica,42.44,19.26,Europe/Podgorica
3626,Morocco,Rabat,34.03,-6.84,Africa/Casablanca
3627,Mozambique,Maputo,-25.97,32.59,Africa/Maputo
3628,Myanmar,Pathein,16.78,94.73,Asia/Yangon
3629,Namibia,Windhoek,-22.57,17.08,Africa/Windhoek
3630,Turkey,Yaren,39.55,27.62,Europe/Istanbul
3631,Nepal,Kathmandu,27.72,85.32,Asia/Kathmandu
3632,Netherlands,Amsterdam,52.37,4.89,Europe/Amsterdam
3633,New Zealand,Wellington,-41.3,174.78,Pacific/Auckland
3634,Nicaragua,Managua,12.15,-86.27,America/Managua
3635,Niger,Niamey,13.52,2.12,Africa/Niamey
3636,Nigeria,Abuja,9.18,7.18,Africa/Lagos
3637,North Korea,Pyongyang,39.02,125.75,Asia/Pyongyang
3638,Macedonia,Skopje,42.0,21.43,Europe/Skopje
3639,Norway,Oslo,59.92,10.75,Europe/Oslo
3640,Oman,Muscat,23.61,58.59,Asia/Muscat
3641,Pakistan,Islamabad,33.7,73.17,Asia/Karachi
3642,Palau,Adkip,7.36,134.51,Pacific/Palau
3643,Bolivia,National,-11.18,-67.08,America/La_Paz
3644,Panama,Panama City,8.97,-79.53,America/Panama
3645,Papua New Guinea,Port Moresby,-9.46,147.19,Pacific/Port_Moresby
3646,Paraguay,Carreria,-21.55,-58.12,America/Asuncion
3647,Peru,Lima,-12.05,-77.05,America/Lima
3648,Philippines,Manila,14.6,120.98,Asia/Manila
3649,Poland,Warsaw,52.25,21.0,Europe/Warsaw
3650,Portugal,Lisbon,38.72,-9.13,Europe/Lisbon
3651,Qatar,Doha,25.29,51.53,Asia/Qatar
3652,Romania,Bucharest,44.43,26.1,Europe/Bucharest
3653,Russia,Moscow,55.75,37.62,Europe/Moscow
3654,Rwanda,Kigali,-1.95,30.06,Africa/Kigali
3655,Saint Kitts and Nevis,Basseterre,17.3,-62.72,America/St_Kitts
3656,Saint Lucia,Castries,14.0,-61.0,America/St_Lucia
3657,Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,America/St_Vincent
3658,Samoa,Apia,-13.83,-171.73,Pacific/Apia
3659,San Marino,San Marino,43.93,12.45,Europe/Rome
3660,Belgium,'S-Gravenwezel,51.27,4.55,Europe/Brussels
3661,Saudi Arabia,Riyadh,24.64,46.77,Asia/Riyadh
3662,Senegal,Dakar,14.67,-17.44,Africa/Dakar
3663,Serbia,Belgrade,44.8,20.47,Europe/Belgrade
3664,Seychelles Islands,Victoria,-4.62,55.45,Indian/Mahe
3665,Sierra Leone,Freetown,8.49,-13.23,Africa/Freetown
3666,Singapore,Singapore,1.29,103.86,Asia/Singapore
3667,Slovakia,Bratislava,48.15,17.12,Europe/Bratislava
3668,Slovenia,Ljubljana,46.06,14.51,Europe/Ljubljana
3669,Solomon Islands,Honiara,-9.43,159.95,Pacific/Guadalcanal
3670,Somalia,Mogadishu,2.07,45.37,Africa/Mogadishu
3671,South Africa,Pretoria,-25.75,28.19,Africa/Johannesburg
3672,South Korea,Seoul,37.57,127.0,Asia/Seoul
3673,Sudan,Juba,12.15,24.45,Africa/Khartoum
3674,Spain,Madrid,40.4,-3.68,Europe/Madrid
3675,Sri Lanka,Colombo,6.93,79.85,Asia/Colombo
3676,Sudan,Khartoum,15.59,32.53,Africa/Khartoum
3677,Suriname,Paramaribo,5.83,-55.17,America/Paramaribo
3678,Sweden,Stockholm,59.33,18.05,Europe/Stockholm
3679,Switzerland,Bern,46.92,7.47,Europe/Zurich
3680,Syria,Damascus,33.5,36.3,Asia/Damascus
3681,Tajikistan,Dushanbe,38.56,68.77,Asia/Dushanbe
3682,Tanzania,Dodoma,-6.18,35.75,Africa/Dar_es_Salaam
3683,Thailand,Bangkok,13.75,100.52,Asia/Bangkok
3684,Timor-Leste,Dili,-8.56,125.57,Asia/Dili
3685,Bulgaria,Lom,43.81,23.24,Europe/Bucharest
3686,Tonga,Nuku`Aloia,-21.13,-175.2,Pacific/Tongatapu
3687,Trinidad and Tobago,Port Of Spain,10.65,-61.52,America/Port_of_Spain
3688,Tunisia,Tunis,36.8,10.18,Africa/Tunis
3689,Turkey,Ankara,39.93,32.86,Europe/Istanbul
3690,Turkmenistan,Ashgabat,37.95,58.38,Asia/Ashgabat
3691,Tuvalu,Funafuti,-8.52,179.22,Pacific/Funafuti
3692,Uganda,Kampala,0.32,32.57,Africa/Kampala
3693,Ukraine,Kyiv,50.43,30.52,Europe/Kiev
3694,United Arab Emirates,Abu Dhabi,24.47,54.37,Asia/Dubai
3695,United Kingdom,London,51.52,-0.11,Europe/London
3696,United States of America,Washington Park,46.6,-120.49,America/Los_Angeles
3697,Uruguay,Montevideo,-34.86,-56.17,America/Montevideo
3698,Uzbekistan,Tashkent,41.32,69.25,Asia/Tashkent
3699,Vanuatu,Port Vila,-17.73,168.32,Pacific/Efate
3700,Venezuela,Caracas,10.5,-66.92,America/Caracas
3701,Vietnam,Hanoi,21.03,105.85,Asia/Bangkok
3702,Yemen,Sanaa,15.35,44.21,Asia/Aden
3703,Zambia,Lusaka,-15.42,28.28,Africa/Lusaka
3704,Zimbabwe,Harare,-17.82,31.04,Africa/Harare
3705,Afghanistan,Kabul,34.52,69.18,Asia/Kabul
3706,Albania,Tirana,41.33,19.82,Europe/Tirane
3707,Algeria,Algiers,36.76,3.05,Africa/Algiers
3708,Andorra,Andorra La Vella,42.5,1.52,Europe/Andorra
3709,Angola,Luanda,-8.84,13.23,Africa/Luanda
3710,Antigua and Barbuda,Saint John's,17.12,-61.85,America/Antigua
3711,Argentina,Buenos Aires,-34.59,-58.67,America/Argentina/Buenos_Aires
3712,Armenia,Yerevan,40.18,44.51,Asia/Yerevan
3713,Australia,Canberra,-35.28,149.22,Australia/Sydney
3714,Austria,Vienna,48.2,16.37,Europe/Vienna
3715,Azerbaijan,Baku,40.4,49.88,Asia/Baku
3716,Bahamas,Nassau,25.08,-77.35,America/Nassau
3717,Bahrain,Manama,26.24,50.58,Asia/Bahrain
3718,Bangladesh,Dhaka,23.72,90.41,Asia/Dhaka
3719,Barbados,Bridgetown,13.1,-59.62,America/Barbados
3720,Belarus,Minsk,53.9,27.57,Europe/Minsk
3721,Belgium,Brussels,50.83,4.33,Europe/Brussels
3722,Belize,Belmopan,17.25,-88.77,America/Belize
3723,Benin,Porto-Novo,6.48,2.62,Africa/Porto-Novo
3724,Bhutan,Thimphu,27.48,89.6,Asia/Thimphu
3725,Bolivia,Sucre,-19.04,-65.26,America/La_Paz
3726,Bosnia and Herzegovina,Sarajevo,43.85,18.38,Europe/Sarajevo
3727,Botswana,Gaborone,-24.65,25.91,Africa/Gaborone
3728,Brazil,Bras,-2.08,-58.17,America/Manaus
3729,Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,Asia/Brunei
3730,Bulgaria,Sofia,42.68,23.32,Europe/Sofia
3731,Burkina Faso,Ouagadougou,12.37,-1.52,Africa/Ouagadougou
3732,Burundi,Bujumbura,-3.38,29.36,Africa/Bujumbura
3733,Madagascar,Ivory,-24.37,46.45,Indian/Antananarivo
